player,stat,line,side,p,edge,group
"Paolo Banchero",PRA,37.5,Over,0.677,0.177,"ATL matchup"
"Tyrese Maxey",PTS,27.5,Over,0.567,0.067,"CHI matchup"
"LaMelo Ball",REB,6.0,Under,0.590,0.090,"NOP matchup"
"Stephen Curry",PTS,24.5,Over,0.604,0.104,"PHX matchup"
"Sion James",PRA,9.5,Over,0.891,0.391,"NOP matchup"
"Zion Williamson",PRA,36.5,Over,0.549,0.049,"CHA matchup"
"Kevin Huerter",REB,2.5,Over,0.628,0.128,"PHI matchup"
"Franz Wagner",REB,4.5,Over,0.787,0.287,"ATL matchup"
"Jonathan Kuminga",REB,4.5,Over,0.659,0.159,"PHX matchup"
"Jalen Suggs",REB,1.5,Over,0.916,0.416,"ATL matchup"
"Chet Holmgren",PRA,28.5,Under,0.578,0.078,"LAC matchup"
"Dyson Daniels",PRA,21.5,Over,0.645,0.145,"ORL matchup"
"Ryan Rollins",AST,3.5,Under,0.559,0.059,"TOR matchup"
"RJ Barrett",AST,3.5,Over,0.584,0.084,"MIL matchup"
"Joel Embiid",AST,2.5,Over,0.849,0.349,"CHI matchup"
"Kristaps Porziņģis",AST,1.5,Over,0.725,0.225,"ORL matchup"
"Shai Gilgeous-Alexander",AST,5.5,Over,0.718,0.218,"LAC matchup"
"Ryan Rollins",PTS,14.5,Under,0.656,0.156,"TOR matchup"
"Brandin Podziemski",PTS,13.5,Over,0.510,0.010,"PHX matchup"
"Zaccharie Risacher",PTS,8.5,Over,0.713,0.213,"ORL matchup"
"Tre Jones",PTS,12.5,Under,0.629,0.129,"PHI matchup"
"Jalen Suggs",PTS,10.5,Over,0.710,0.210,"ATL matchup"
"Collin Gillespie",PTS,9.5,Under,0.588,0.088,"GSW matchup"
"VJ Edgecombe",PTS,15.5,Over,0.775,0.275,"CHI matchup"
"Ayo Dosunmu",PTS,13.5,Under,0.515,0.015,"PHI matchup"
"Jared McCain",PTS,9.5,Over,0.746,0.246,"CHI matchup"
"Luke Kennard",PTS,8.5,Under,0.609,0.109,"ORL matchup"
"Yves Missi",PTS,7.5,Over,0.631,0.131,"CHA matchup"
"Isaac Okoro",PTS,5.5,Over,0.583,0.083,"PHI matchup"
"Kristaps Porziņģis",PTS,17.5,Over,0.684,0.184,"ORL matchup"
"Buddy Hield",PTS,6.5,Over,0.604,0.104,"PHX matchup"
"Draymond Green",PTS,8.5,Over,0.551,0.051,"PHX matchup"
"Jimmy Butler",PTS,20.5,Under,0.516,0.016,"PHX matchup"
